docid,halId_s,version_i,docType_s,citationFull_s,citationRef_s
5163378,hal-02142802,1,COMM,"Vassili Rivron. Médias sociaux et ethnicité en Afrique Centrale : objectivation culturelle et réunification Ekang. <i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.159-173. <a target=""_blank"" href=""https://normandie-univ.hal.science/hal-02142802v1"">&#x27E8;hal-02142802&#x27E9;</a>","<i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.159-173"
436929,hal-00436929,1,COMM,"Guylain Delmas, Ronan Champagnat, Michel Augeraud. Le Jeu de Rôle : un modèle de récit interactif pour les jeux. <i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.227-238. <a target=""_blank"" href=""https://hal.science/hal-00436929v1"">&#x27E8;hal-00436929&#x27E9;</a>","<i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.227-238"
1037901,hal-01037901,1,COMM,"Julien Lavergne, Hanene Azzag, Christiane Guinot, Gilles Venturini. Construction d'un graphe hypertexte de documents par des fourmis artificielles. Exploration interactive d’un ensemble de documents. <i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.139-150. <a target=""_blank"" href=""https://hal.science/hal-01037901v1"">&#x27E8;hal-01037901&#x27E9;</a>","<i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.139-150"
5188655,lirmm-00440728,1,COMM,"Bérenger Arnaud, Mountaz Hascoët. Marquage coopératif de documents. <i>H2PTM 2009 - Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.397-401. <a target=""_blank"" href=""https://hal-lirmm.ccsd.cnrs.fr/lirmm-00440728v1"">&#x27E8;lirmm-00440728&#x27E9;</a>","<i>H2PTM 2009 - Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.397-401"
2344524,hal-02344524,1,COMM,"Mélody Laurent, Frédérick Bigrat. L'innovation technologique au service de la transmission du patrimoine de l'humanité : Projets numériques sur les lieux de patrimoine en France. <i>H2PTM'19 De l’hypertexte aux humanités numériques</i>, Oct 2019, Montbéliard, France. pp.303-322. <a target=""_blank"" href=""https://hal.science/hal-02344524v1"">&#x27E8;hal-02344524&#x27E9;</a>","<i>H2PTM'19 De l’hypertexte aux humanités numériques</i>, Oct 2019, Montbéliard, France. pp.303-322"
1526838,hal-00905473,1,COMM,"Bernard Idelson. Partout, tout le temps ! Presse régionale en ligne : dispositifs et stratégies éditoriales multimédias. Le cas de La Réunion. <i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.299-312. <a target=""_blank"" href=""https://hal.science/hal-00905473v1"">&#x27E8;hal-00905473&#x27E9;</a>","<i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.299-312"
3106875,hal-02511177,1,COMM,"Antoine Henry. Plateformisation dans une entreprise du secteur énergétique : institutionnalisation d'une communauté de pratique virtuelle d'émergence locale. <i>H2PTM'19 : De l’hypertexte aux humanités numériques</i>, Oct 2019, Montbéliard, France. pp.219-235. <a target=""_blank"" href=""https://hal.science/hal-02511177v1"">&#x27E8;hal-02511177&#x27E9;</a>","<i>H2PTM'19 : De l’hypertexte aux humanités numériques</i>, Oct 2019, Montbéliard, France. pp.219-235"
4462697,hal-04462697,1,COMM,"Mathieu Dubuis, Michel Labour, Sylvie Leleu-Merviel. Présence hypermédiatique du témoin disparu. Une expérimentation auprès des visiteurs. <i>H2PTM'23 : La fabrique du sens à l’ère de l’information numérique : enjeux et défis</i>, Oct 2023, Valenciennes (Nord), France. pp.235-256. <a target=""_blank"" href=""https://hal.science/hal-04462697v1"">&#x27E8;hal-04462697&#x27E9;</a>","<i>H2PTM'23 : La fabrique du sens à l’ère de l’information numérique : enjeux et défis</i>, Oct 2023, Valenciennes (Nord), France. pp.235-256"
1626544,hal-01626544,1,COMM,"Julien Pierre, Camille Alloing. Le design du web affectif : entre empathie et universalité. Retour sur les phases de conception de l'affectivité numérique. <i>H2PTM'17 : Le numérique à l’ère des designs, de l’hypertexte à l’hyper-expérience</i>, Oct 2017, Valenciennes, France. pp.112-130. <a target=""_blank"" href=""https://hal.science/hal-01626544v1"">&#x27E8;hal-01626544&#x27E9;</a>","<i>H2PTM'17 : Le numérique à l’ère des designs, de l’hypertexte à l’hyper-expérience</i>, Oct 2017, Valenciennes, France. pp.112-130"
5217030,hal-02636822,1,COMM,"Audilio Gonzales Aguilar, Claire Noy. Vers de nouvelles formes de collaboration et de recherche d'informations : du référencement de mots-clés à la visualisation des connaissances. <i>H2PTM'19 : De l’hypertexte aux humanités numériques</i>, ELLIADD; Laboratoire Paragraphe; DeVisu; Dicen IDF; Crem, Oct 2019, Montbéliard, France. pp.177-199. <a target=""_blank"" href=""https://hal.science/hal-02636822v1"">&#x27E8;hal-02636822&#x27E9;</a>","<i>H2PTM'19 : De l’hypertexte aux humanités numériques</i>, ELLIADD; Laboratoire Paragraphe; DeVisu; Dicen IDF; Crem, Oct 2019, Montbéliard, France. pp.177-199"
5194888,hal-03800907,1,COMM,"Orélie Desfriches Doria, Jean-Marc Meunier. Eduquer à l'esprit critique avec Polemika : entre « habitus numérique » et mobilisation des émotions. <i>H2PTM'21 : Information : enjeux et nouveaux défis</i>, Oct 2021, Aubervilliers, France. pp.112-124. <a target=""_blank"" href=""https://cyu.hal.science/hal-03800907v1"">&#x27E8;hal-03800907&#x27E9;</a>","<i>H2PTM'21 : Information : enjeux et nouveaux défis</i>, Oct 2021, Aubervilliers, France. pp.112-124"
5193314,hal-05193314,1,COMM,"Anne Bationo-Tillon, Francesca Cozzolino. En quête de temps. Quand un dispositif artistique interactif convoque des expériences inédites du temps. <i>H2PTM'17 : Le numérique à l’ère des designs, de l’hypertexte à l’hyper-expérience</i>, Oct 2017, Valenciennes, France. pp.168-186. <a target=""_blank"" href=""https://hal.science/hal-05193314v1"">&#x27E8;hal-05193314&#x27E9;</a>","<i>H2PTM'17 : Le numérique à l’ère des designs, de l’hypertexte à l’hyper-expérience</i>, Oct 2017, Valenciennes, France. pp.168-186"
5191416,hal-02108048,1,COMM,"Amadou Ndiaye. User participation in the structuring of cultural heritage data in a collaborative knowledge base. <i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.346-360. <a target=""_blank"" href=""https://univ-paris8.hal.science/hal-02108048v1"">&#x27E8;hal-02108048&#x27E9;</a>","<i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.346-360"
5217043,hal-05217043,1,COMM,"Franck Soudan. Collectifs intelligents et algorithmes : l'i-négociation sur Internet. <i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.371-381. <a target=""_blank"" href=""https://hal.science/hal-05217043v1"">&#x27E8;hal-05217043&#x27E9;</a>","<i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.371-381"
5190187,hal-05190187,1,COMM,"Sébastien Hock-Koon. La règle, la loi et le mécanisme de jeu vidéo : le rebond de la balle dans Pong. <i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.145-150. <a target=""_blank"" href=""https://hal.science/hal-05190187v1"">&#x27E8;hal-05190187&#x27E9;</a>","<i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.145-150"
759041,hal-00759041,1,COMM,"Bernard Jacquemin. Autorégulation des rapports sociaux entre contributeurs de Wikipedia. <i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.335-346. <a target=""_blank"" href=""https://hal.science/hal-00759041v1"">&#x27E8;hal-00759041&#x27E9;</a>","<i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.335-346"
520212,sic_00520212,1,COMM,"Thomas Martine. Pour une gestion participative des connaissances. <i>H2PTM'09. Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.58-70. <a target=""_blank"" href=""https://archivesic.ccsd.cnrs.fr/sic_00520212v1"">&#x27E8;sic_00520212&#x27E9;</a>","<i>H2PTM'09. Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.58-70"
1898217,hal-01698087,3,COMM,"Mélody Laurent, Serge Bouchardon, Domitile Lourdeaux, Nicolas Szilas. Récits interactifs pour l'apprentissage en environnement virtuel : design d'une scénarisation fondée sur l'uchronie.. <i>H2PTM'17 : Le numérique à l’ère des designs, de l’hypertexte à l’hyper-expérience</i>, Oct 2017, Valenciennes, France. pp.149-167. <a target=""_blank"" href=""https://hal.science/hal-01698087v3"">&#x27E8;hal-01698087v3&#x27E9;</a>","<i>H2PTM'17 : Le numérique à l’ère des designs, de l’hypertexte à l’hyper-expérience</i>, Oct 2017, Valenciennes, France. pp.149-167"
